category/id,title,title_pt,original_description,xml_line,data_type,api_to_encoded_values,routes,status
01/01,,,TPMS Calibration,2,2,{},"[{""source"": 0, ""menu"": 3}]",metadata_present
02/01,,,ﾍﾞﾙﾄﾌｨｯﾄｱｼｽﾄ設定,18,0,"{""1"": 1, ""2"": 2}",[],no_xml_route
02/02,,,CMBS警報ﾀｲﾐﾝｸﾞ,38,0,"{""1"": 1, ""2"": 2}",[],no_xml_route
02/03,Forward Collision Warning Distance,Distância de Alerta de Colisão Frontal,CMBS警報ﾀｲﾐﾝｸﾞ,58,0,"{""1"": 3, ""2"": 1, ""3"": 2}","[{""source"": 0, ""menu"": 9}]",metadata_present
02/04,Forward Collision Warning Distance,Distância de Alerta de Colisão Frontal,FCW警報ﾀｲﾐﾝｸﾞ,81,0,"{""1"": 3, ""2"": 1, ""3"": 2, ""4"": 4}","[{""source"": 0, ""menu"": 8}]",metadata_present
02/05,Forward Collision Warning Distance,Distância de Alerta de Colisão Frontal,FCW警報ﾀｲﾐﾝｸﾞ,105,0,"{""1"": 2, ""2"": 0, ""3"": 1, ""4"": 3}",[],no_xml_route
02/06,Traffic Sign Recognition Function,Função de reconhec. de sinais de trânsito,TSR常駐表示ON/OFF,127,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 52}]",metadata_present
02/07,HSS ON/OFF Setting,,HSS ON/OFF設定,149,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
02/08,HSS function recovery condition (Distance driven),,HSS機能復帰条件（走行距離）,169,0,"{""1"": 7, ""2"": 6, ""3"": 5, ""4"": 4, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 0}",[],no_xml_route
02/09,HSS function recovery condition (passing SW fixed time),,HSS機能復帰条件（パッシングSW固定時間）,195,0,"{""1"": 7, ""2"": 6, ""3"": 5, ""4"": 4, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 0}",[],no_xml_route
02/0A,ACC Forward Vehicle Detect Beep,Aviso Sonoro de Detecção de Veículo Frontal de ACC,先行車検知音,221,0,"{""1"": 1, ""2"": 2}","[{""source"": 0, ""menu"": 1}]",metadata_present
02/0B,Reactive Force Pedal,Pedal de força reativa,リアクティブフォースペダル設定,243,0,"{""1"": 1, ""2"": 0, ""3"": 2}",[],no_xml_route
02/0C,IDA inter-vehicle control: inter-vehicle distance,,リアクティブフォースペダル 車間維持支援 車間距離設定,264,0,"{""1"": 2, ""2"": 1, ""3"": 0}",[],no_xml_route
